fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-02-01,1 pm,4476,GEM,2025-12-20 05:26:06,01/02/2025,13,6,7,21,0,0,4000-4999,2025,2,1,5,30
2025-02-01,10 pm,4983,GEM,2025-12-20 05:26:07,01/02/2025,22,3,8,24,1,0,4000-4999,2025,2,1,5,30
2025-02-01,4 pm,6125,GEM,2025-12-20 05:26:07,01/02/2025,16,5,2,14,1,0,6000-6999,2025,2,1,5,30
2025-03-01,1 pm,7329,LEO,2025-12-20 05:36:09,01/03/2025,13,9,2,21,1,1,7000-7999,2025,3,1,5,58
2025-03-01,10 pm,2926,ESC,2025-12-20 05:36:09,01/03/2025,22,6,2,19,0,2,2000-2999,2025,3,1,5,58
2025-03-01,4 pm,1643,TAU,2025-12-20 05:36:09,01/03/2025,16,3,4,14,1,3,1000-1999,2025,3,1,5,58
2025-04-01,1 pm,9796,CAP,2025-12-20 05:48:27,01/04/2025,13,6,9,31,0,4,9000-9999,2025,4,1,1,89
2025-04-01,10 pm,5002,LEO,2025-12-20 05:48:27,01/04/2025,22,2,0,7,0,1,5000-5999,2025,4,1,1,89
2025-04-01,4 pm,1610,CAP,2025-12-20 05:48:27,01/04/2025,16,0,1,8,0,4,1000-1999,2025,4,1,1,89
2025-05-01,1 pm,4392,CAP,2025-12-20 05:59:12,01/05/2025,13,2,9,18,0,4,4000-4999,2025,5,1,3,119
2025-05-01,10 pm,9064,GEM,2025-12-20 05:59:12,01/05/2025,22,4,6,19,0,0,9000-9999,2025,5,1,3,119
2025-05-01,4 pm,6131,CAN,2025-12-20 05:59:12,01/05/2025,16,1,3,11,1,5,6000-6999,2025,5,1,3,119
2025-06-01,1 pm,7157,SAG,2025-12-20 06:10:20,01/06/2025,13,7,5,20,1,6,7000-7999,2025,6,1,6,150
2025-06-01,10 pm,8380,CAP,2025-12-20 06:10:21,01/06/2025,22,0,8,19,0,4,8000-8999,2025,6,1,6,150
2025-06-01,4 pm,8425,ACU,2025-12-20 06:10:20,01/06/2025,16,5,2,19,1,7,8000-8999,2025,6,1,6,150
2025-07-01,1 pm,4651,LEO,2025-12-20 06:21:07,01/07/2025,13,1,5,16,1,1,4000-4999,2025,7,1,1,180
2025-07-01,10 pm,4260,PIC,2025-12-20 06:21:07,01/07/2025,22,0,6,12,0,8,4000-4999,2025,7,1,1,180
2025-07-01,4 pm,7018,ESC,2025-12-20 06:21:07,01/07/2025,16,8,1,16,0,2,7000-7999,2025,7,1,1,180
2025-08-01,1 pm,5408,GEM,2025-12-20 06:32:14,01/08/2025,13,8,0,17,0,0,5000-5999,2025,8,1,4,211
2025-08-01,10 pm,1847,GEM,2025-12-20 06:32:14,01/08/2025,22,7,4,20,1,0,1000-1999,2025,8,1,4,211
2025-08-01,4 pm,521,ESC,2025-12-20 06:32:14,01/08/2025,16,1,2,8,1,2,0-999,2025,8,1,4,211
2025-09-01,1 pm,4115,LEO,2025-12-20 06:43:22,01/09/2025,13,5,1,11,1,1,4000-4999,2025,9,1,0,242
2025-09-01,10 pm,3970,TAU,2025-12-20 06:43:22,01/09/2025,22,0,7,19,0,3,3000-3999,2025,9,1,0,242
2025-09-01,4 pm,3682,CAP,2025-12-20 06:43:22,01/09/2025,16,2,8,19,0,4,3000-3999,2025,9,1,0,242
2025-10-01,1 pm,7775,ESC,2025-12-20 06:54:08,01/10/2025,13,5,7,26,1,2,7000-7999,2025,10,1,2,272
2025-10-01,10 pm,6899,TAU,2025-12-20 06:54:08,01/10/2025,22,9,9,32,1,3,6000-6999,2025,10,1,2,272
2025-10-01,4 pm,6687,TAU,2025-12-20 06:54:08,01/10/2025,16,7,8,27,1,3,6000-6999,2025,10,1,2,272
2025-01-02,1 pm,2962,TAU,2025-12-20 05:15:20,02/01/2025,13,2,6,19,0,3,2000-2999,2025,1,2,3,0
2025-01-02,10 pm,8390,ESC,2025-12-20 05:15:20,02/01/2025,22,0,9,20,0,2,8000-8999,2025,1,2,3,0
2025-01-02,4 pm,1039,PIC,2025-12-20 05:15:20,02/01/2025,16,9,3,13,1,8,1000-1999,2025,1,2,3,0
2025-02-02,1 pm,6082,ACU,2025-12-20 05:26:28,02/02/2025,13,2,8,16,0,7,6000-6999,2025,2,2,6,31
2025-02-02,10 pm,9625,GEM,2025-12-20 05:26:28,02/02/2025,22,5,2,22,1,0,9000-9999,2025,2,2,6,31
2025-02-02,4 pm,2629,TAU,2025-12-20 05:26:28,02/02/2025,16,9,2,19,1,3,2000-2999,2025,2,2,6,31
2025-03-02,1 pm,4627,CAN,2025-12-20 05:36:31,02/03/2025,13,7,2,19,1,5,4000-4999,2025,3,2,6,59
2025-03-02,10 pm,7445,LEO,2025-12-20 05:36:31,02/03/2025,22,5,4,20,1,1,7000-7999,2025,3,2,6,59
2025-03-02,4 pm,5812,TAU,2025-12-20 05:36:31,02/03/2025,16,2,1,16,0,3,5000-5999,2025,3,2,6,59
2025-04-02,1 pm,8638,CAN,2025-12-20 05:48:49,02/04/2025,13,8,3,25,0,5,8000-8999,2025,4,2,2,90
2025-04-02,10 pm,2761,ARI,2025-12-20 05:48:49,02/04/2025,22,1,6,16,1,9,2000-2999,2025,4,2,2,90
2025-04-02,4 pm,6248,CAN,2025-12-20 05:48:49,02/04/2025,16,8,4,20,0,5,6000-6999,2025,4,2,2,90
2025-05-02,1 pm,1071,CAP,2025-12-20 05:59:34,02/05/2025,13,1,7,9,1,4,1000-1999,2025,5,2,4,120
2025-05-02,10 pm,226,PIC,2025-12-20 05:59:34,02/05/2025,22,6,2,10,0,8,0-999,2025,5,2,4,120
2025-05-02,4 pm,9785,ESC,2025-12-20 05:59:34,02/05/2025,16,5,8,29,1,2,9000-9999,2025,5,2,4,120
2025-06-02,1 pm,3122,GEM,2025-12-20 06:10:42,02/06/2025,13,2,2,8,0,0,3000-3999,2025,6,2,0,151
2025-06-02,10 pm,8145,CAP,2025-12-20 06:10:42,02/06/2025,22,5,4,18,1,4,8000-8999,2025,6,2,0,151
2025-06-02,4 pm,8705,ARI,2025-12-20 06:10:42,02/06/2025,16,5,0,20,1,9,8000-8999,2025,6,2,0,151
2025-07-02,1 pm,5260,ARI,2025-12-20 06:21:29,02/07/2025,13,0,6,13,0,9,5000-5999,2025,7,2,2,181
2025-07-02,10 pm,1802,ACU,2025-12-20 06:21:29,02/07/2025,22,2,0,11,0,7,1000-1999,2025,7,2,2,181
2025-07-02,4 pm,3905,TAU,2025-12-20 06:21:29,02/07/2025,16,5,0,17,1,3,3000-3999,2025,7,2,2,181
2025-08-02,1 pm,1371,CAN,2025-12-20 06:32:35,02/08/2025,13,1,7,12,1,5,1000-1999,2025,8,2,5,212
2025-08-02,10 pm,4812,ARI,2025-12-20 06:32:36,02/08/2025,22,2,1,15,0,9,4000-4999,2025,8,2,5,212
2025-08-02,4 pm,5895,GEM,2025-12-20 06:32:36,02/08/2025,16,5,9,27,1,0,5000-5999,2025,8,2,5,212
2025-09-02,1 pm,8403,CAN,2025-12-20 06:43:43,02/09/2025,13,3,0,15,1,5,8000-8999,2025,9,2,1,243
2025-09-02,10 pm,6635,LIB,2025-12-20 06:43:43,02/09/2025,22,5,3,20,1,10,6000-6999,2025,9,2,1,243
2025-09-02,4 pm,1415,ARI,2025-12-20 06:43:43,02/09/2025,16,5,1,11,1,9,1000-1999,2025,9,2,1,243
2025-10-02,1 pm,94,TAU,2025-12-20 06:54:30,02/10/2025,13,4,9,13,0,3,0-999,2025,10,2,3,273
2025-10-02,10 pm,7720,TAU,2025-12-20 06:54:30,02/10/2025,22,0,2,16,0,3,7000-7999,2025,10,2,3,273
2025-10-02,4 pm,4058,CAP,2025-12-20 06:54:30,02/10/2025,16,8,5,17,0,4,4000-4999,2025,10,2,3,273
2025-01-03,1 pm,7317,ACU,2025-12-20 05:15:41,03/01/2025,13,7,1,18,1,7,7000-7999,2025,1,3,4,1
2025-01-03,10 pm,8427,LEO,2025-12-20 05:15:42,03/01/2025,22,7,2,21,1,1,8000-8999,2025,1,3,4,1
2025-01-03,4 pm,4867,LIB,2025-12-20 05:15:41,03/01/2025,16,7,6,25,1,10,4000-4999,2025,1,3,4,1
2025-02-03,1 pm,5388,VIR,2025-12-20 05:26:49,03/02/2025,13,8,8,24,0,11,5000-5999,2025,2,3,0,32
2025-02-03,10 pm,9220,PIC,2025-12-20 05:26:50,03/02/2025,22,0,2,13,0,8,9000-9999,2025,2,3,0,32
2025-02-03,4 pm,8117,ARI,2025-12-20 05:26:50,03/02/2025,16,7,1,17,1,9,8000-8999,2025,2,3,0,32
2025-03-03,1 pm,1883,ARI,2025-12-20 05:36:52,03/03/2025,13,3,8,20,1,9,1000-1999,2025,3,3,0,60
2025-03-03,10 pm,3725,LEO,2025-12-20 05:36:52,03/03/2025,22,5,2,17,1,1,3000-3999,2025,3,3,0,60
2025-03-03,4 pm,9848,PIC,2025-12-20 05:36:52,03/03/2025,16,8,4,29,0,8,9000-9999,2025,3,3,0,60
2025-04-03,1 pm,59,PIC,2025-12-20 05:49:10,03/04/2025,13,9,5,14,1,8,0-999,2025,4,3,3,91
2025-04-03,10 pm,4351,CAN,2025-12-20 05:49:10,03/04/2025,22,1,5,13,1,5,4000-4999,2025,4,3,3,91
2025-04-03,4 pm,1643,CAN,2025-12-20 05:49:10,03/04/2025,16,3,4,14,1,5,1000-1999,2025,4,3,3,91
2025-05-03,1 pm,8438,ARI,2025-12-20 05:59:55,03/05/2025,13,8,3,23,0,9,8000-8999,2025,5,3,5,121
2025-05-03,10 pm,24,CAP,2025-12-20 05:59:56,03/05/2025,22,4,2,6,0,4,0-999,2025,5,3,5,121
2025-05-03,4 pm,9233,TAU,2025-12-20 05:59:55,03/05/2025,16,3,3,17,1,3,9000-9999,2025,5,3,5,121
2025-06-03,1 pm,3987,GEM,2025-12-20 06:11:03,03/06/2025,13,7,8,27,1,0,3000-3999,2025,6,3,1,152
