fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-02-01,1 pm,707,TAU,2025-12-20 03:27:42,01/02/2025,13,7,0,14,1,0,0-999,2025,2,1,5,30
2025-02-01,10 pm,834,ESC,2025-12-20 03:27:42,01/02/2025,22,4,3,15,0,1,0-999,2025,2,1,5,30
2025-02-01,4 pm,118,LIB,2025-12-20 03:27:42,01/02/2025,16,8,1,10,0,2,0-999,2025,2,1,5,30
2025-03-01,1 pm,315,CAN,2025-12-20 03:37:46,01/03/2025,13,5,1,9,1,3,0-999,2025,3,1,5,58
2025-03-01,10 pm,146,PIC,2025-12-20 03:37:46,01/03/2025,22,6,4,11,0,4,0-999,2025,3,1,5,58
2025-03-01,4 pm,878,TAU,2025-12-20 03:37:46,01/03/2025,16,8,7,23,0,0,0-999,2025,3,1,5,58
2025-04-01,1 pm,911,GEM,2025-12-20 03:48:54,01/04/2025,13,1,1,11,1,5,0-999,2025,4,1,1,89
2025-04-01,10 pm,997,GEM,2025-12-20 03:48:54,01/04/2025,22,7,9,25,1,5,0-999,2025,4,1,1,89
2025-04-01,4 pm,887,VIR,2025-12-20 03:48:54,01/04/2025,16,7,8,23,1,6,0-999,2025,4,1,1,89
2025-05-01,1 pm,341,CAP,2025-12-20 03:59:40,01/05/2025,13,1,4,8,1,7,0-999,2025,5,1,3,119
2025-05-01,10 pm,861,ACU,2025-12-20 03:59:40,01/05/2025,22,1,6,15,1,8,0-999,2025,5,1,3,119
2025-05-01,4 pm,765,ACU,2025-12-20 03:59:40,01/05/2025,16,5,6,18,1,8,0-999,2025,5,1,3,119
2025-06-01,1 pm,504,ARI,2025-12-20 04:10:47,01/06/2025,13,4,0,9,0,9,0-999,2025,6,1,6,150
2025-06-01,10 pm,862,VIR,2025-12-20 04:10:47,01/06/2025,22,2,6,16,0,6,0-999,2025,6,1,6,150
2025-06-01,4 pm,737,CAN,2025-12-20 04:10:47,01/06/2025,16,7,3,17,1,3,0-999,2025,6,1,6,150
2025-07-01,1 pm,104,ESC,2025-12-20 04:21:33,01/07/2025,13,4,0,5,0,1,0-999,2025,7,1,1,180
2025-07-01,10 pm,945,ACU,2025-12-20 04:21:34,01/07/2025,22,5,4,18,1,8,0-999,2025,7,1,1,180
2025-07-01,4 pm,323,LEO,2025-12-20 04:21:33,01/07/2025,16,3,2,8,1,10,0-999,2025,7,1,1,180
2025-08-01,1 pm,187,LEO,2025-12-20 04:32:41,01/08/2025,13,7,8,16,1,10,0-999,2025,8,1,4,211
2025-08-01,10 pm,653,TAU,2025-12-20 04:32:41,01/08/2025,22,3,5,14,1,0,0-999,2025,8,1,4,211
2025-08-01,4 pm,943,ARI,2025-12-20 04:32:41,01/08/2025,16,3,4,16,1,9,0-999,2025,8,1,4,211
2025-09-01,1 pm,389,ESC,2025-12-20 04:43:49,01/09/2025,13,9,8,20,1,1,0-999,2025,9,1,0,242
2025-09-01,10 pm,128,SAG,2025-12-20 04:43:50,01/09/2025,22,8,2,11,0,11,0-999,2025,9,1,0,242
2025-09-01,4 pm,94,TAU,2025-12-20 04:43:49,01/09/2025,16,4,9,13,0,0,0-999,2025,9,1,0,242
2025-10-01,1 pm,360,PIC,2025-12-20 04:54:37,01/10/2025,13,0,6,9,0,4,0-999,2025,10,1,2,272
2025-10-01,10 pm,714,LEO,2025-12-20 04:54:37,01/10/2025,22,4,1,12,0,10,0-999,2025,10,1,2,272
2025-10-01,4 pm,602,SAG,2025-12-20 04:54:37,01/10/2025,16,2,0,8,0,11,0-999,2025,10,1,2,272
2025-01-02,1 pm,252,LEO,2025-12-20 03:16:56,02/01/2025,13,2,5,9,0,10,0-999,2025,1,2,3,0
2025-01-02,10 pm,770,GEM,2025-12-20 03:16:56,02/01/2025,22,0,7,14,0,5,0-999,2025,1,2,3,0
2025-01-02,4 pm,994,ARI,2025-12-20 03:16:56,02/01/2025,16,4,9,22,0,9,0-999,2025,1,2,3,0
2025-02-02,1 pm,15,ARI,2025-12-20 03:28:04,02/02/2025,13,5,1,6,1,9,0-999,2025,2,2,6,31
2025-02-02,10 pm,168,ACU,2025-12-20 03:28:04,02/02/2025,22,8,6,15,0,8,0-999,2025,2,2,6,31
2025-02-02,4 pm,906,CAP,2025-12-20 03:28:04,02/02/2025,16,6,0,15,0,7,0-999,2025,2,2,6,31
2025-03-02,1 pm,173,CAN,2025-12-20 03:38:07,02/03/2025,13,3,7,11,1,3,0-999,2025,3,2,6,59
2025-03-02,10 pm,681,LEO,2025-12-20 03:38:07,02/03/2025,22,1,8,15,1,10,0-999,2025,3,2,6,59
2025-03-02,4 pm,924,TAU,2025-12-20 03:38:07,02/03/2025,16,4,2,15,0,0,0-999,2025,3,2,6,59
2025-04-02,1 pm,466,ESC,2025-12-20 03:49:15,02/04/2025,13,6,6,16,0,1,0-999,2025,4,2,2,90
2025-04-02,10 pm,94,ARI,2025-12-20 03:49:15,02/04/2025,22,4,9,13,0,9,0-999,2025,4,2,2,90
2025-04-02,4 pm,639,GEM,2025-12-20 03:49:15,02/04/2025,16,9,3,18,1,5,0-999,2025,4,2,2,90
2025-05-02,1 pm,858,LEO,2025-12-20 04:00:01,02/05/2025,13,8,5,21,0,10,0-999,2025,5,2,4,120
2025-05-02,10 pm,180,ACU,2025-12-20 04:00:01,02/05/2025,22,0,8,9,0,8,0-999,2025,5,2,4,120
2025-05-02,4 pm,467,SAG,2025-12-20 04:00:01,02/05/2025,16,7,6,17,1,11,0-999,2025,5,2,4,120
2025-06-02,1 pm,735,CAP,2025-12-20 04:11:09,02/06/2025,13,5,3,15,1,7,0-999,2025,6,2,0,151
